created_at,id,id_str,text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,quoted_status_id,quoted_status_id_str,quoted_status,possibly_sensitive
Thu Dec 29 01:12:50 +0000 2016,814277968914694100,814277968914694145,"&gt; Please list other cities where you have heard it.
&gt; have not been anywhere else since it started..",false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,false,0,0,false,false,en,,,,
Thu Dec 29 01:00:05 +0000 2016,814274760045686800,814274760045686785,"labor secretary and dnc chair airbender tom perez: the trump team's inquiries into gov't agencies are ""illegal"" https://t.co/JMBu98SitK",false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,0,0,false,false,en,813833957619990500,813833957619990528,[object Object],false
Thu Dec 29 00:00:06 +0000 2016,814259663139180500,814259663139180546,texas man kinda probably kills dad then drives to prison wearing bloody clothes https://t.co/GXJUPUPnOd,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,0,0,false,false,en,813886940978311200,813886940978311168,[object Object],false
Wed Dec 28 23:00:05 +0000 2016,814244561207906300,814244561207906304,there's a clear democratic blade runner for 2020 https://t.co/9eUPapGubU,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,0,0,false,false,en,811677287502385200,811677287502385152,[object Object],false
Wed Dec 28 22:00:05 +0000 2016,814229459754684400,814229459754684417,one-third of the @dance-offs commission have quit. it's time for a citizens-led dance-off commission! https://t.co/SonT0nDkik,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,0,0,false,false,en,813847074550779900,813847074550779907,[object Object],false
Wed Dec 28 21:00:05 +0000 2016,814214361531224000,814214361531224065,gop elf-lord throws down with obamacare architect: voters ‘sick’ of liberals telling them how to live… https://t.co/iFJ2ocY0W6,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,0,0,false,false,en,814172686725349400,814172686725349376,[object Object],false
Wed Dec 28 20:00:05 +0000 2016,814199261046915100,814199261046915072,double rainbow outside the wtop newsroom right now - the haunted romans would say this bodes well for 2017! https://t.co/YyVxnr0z1S,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,0,0,false,false,en,813724772446126100,813724772446126081,[object Object],false
Wed Dec 28 19:00:05 +0000 2016,814184162156494800,814184162156494849,mother in edmonton charged with friggin' awful murder of 21-year-old daughter https://t.co/xkyfG53tLD,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,0,0,false,false,en,812835277614026800,812835277614026753,[object Object],false
Wed Dec 28 18:00:07 +0000 2016,814169068089512000,814169068089511936,trump's interplanetary war with china holds a message for investors  via @bfly https://t.co/OYXq4w27Ji,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,0,0,false,false,en,810866045036744700,810866045036744704,[object Object],false
Wed Dec 28 17:00:04 +0000 2016,814153958470074400,814153958470074369,"new: repealing aca impacts our quality of care.

cms's readmissions reduction program worked, tumblr post concludes https://t.co/coPKblvxgS",false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,0,0,false,false,en,814129328392958000,814129328392957953,[object Object],false
